"Tm" "Ur" "Um" "Nn" "pl" "Mp" "Ml" "Cp" "Ct" "Lp" "Ca" "Uc" "Vf" "Hh" "Cc" "Aj" "Pp" "Pt" "Pl" "Tb" "Cs" "Db" "Eh" "Ec" "Eb" "Lg" "Cd" "Gc" "Sc" "Bb" "To" "Gg" "Gt" "Ac" "Mk" "Oa" "Oc" "He" "Am" "Cu" "Dl" "Ab" "Aa" "cc" "Dd" "Al" "Rt" "Ov" "Oh"
"Ca" 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 6.4e+07 6.4e+07 6.4e+07 7e+07 6.1e+07 60500000 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Uc" 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 6.1e+07 6.1e+07 6.1e+07 6.1e+07 7e+07 60500000 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vf" 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 60500000 60500000 60500000 60500000 60500000 7e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hh" 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 7e+07 6.5e+07 4.4e+07 4.4e+07 4.4e+07 4.4e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cc" 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 6.5e+07 7e+07 4.4e+07 4.4e+07 4.4e+07 4.4e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aj" 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 4.4e+07 4.4e+07 7e+07 6.1e+07 6.1e+07 6.1e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pp" 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 4.4e+07 4.4e+07 6.1e+07 7e+07 67500000 67500000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pt" 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 4.4e+07 4.4e+07 6.1e+07 67500000 7e+07 6.8e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pl" 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 4.4e+07 4.4e+07 6.1e+07 67500000 6.8e+07 7e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tb" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7e+07 2e+07 2e+07 1.4e+07 1.4e+07 1.4e+07 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06
"Cs" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e+07 7e+07 5.7e+07 1.4e+07 1.4e+07 1.4e+07 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06
"Db" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e+07 5.7e+07 7e+07 1.4e+07 1.4e+07 1.4e+07 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06
"Eh" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4e+07 1.4e+07 1.4e+07 7e+07 6.3e+07 6.3e+07 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06
"Ec" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4e+07 1.4e+07 1.4e+07 6.3e+07 7e+07 6.4e+07 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06
"Eb" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4e+07 1.4e+07 1.4e+07 6.3e+07 6.4e+07 7e+07 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06
"Lg" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 7e+07 52500000 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07
"Cd" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 52500000 7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07 2.7e+07
"Gc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 7e+07 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000 49500000
"Sc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 7e+07 6e+07 5.1e+07 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Bb" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 6e+07 7e+07 5.1e+07 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"To" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 5.1e+07 5.1e+07 7e+07 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 50500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Gg" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 50500000 50500000 50500000 7e+07 67500000 6.3e+07 5.9e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Gt" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 50500000 50500000 50500000 67500000 7e+07 6.3e+07 5.9e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Ac" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 50500000 50500000 50500000 6.3e+07 6.3e+07 7e+07 5.9e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Mk" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 50500000 50500000 50500000 5.9e+07 5.9e+07 5.9e+07 7e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5.4e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Oa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 50500000 50500000 50500000 5.4e+07 5.4e+07 5.4e+07 5.4e+07 7e+07 6.6e+07 54500000 54500000 54500000 54500000 54500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Oc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 50500000 50500000 50500000 5.4e+07 5.4e+07 5.4e+07 5.4e+07 6.6e+07 7e+07 54500000 54500000 54500000 54500000 54500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"He" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 50500000 50500000 50500000 5.4e+07 5.4e+07 5.4e+07 5.4e+07 54500000 54500000 7e+07 6.1e+07 6.1e+07 6.1e+07 6.1e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Am" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 50500000 50500000 50500000 5.4e+07 5.4e+07 5.4e+07 5.4e+07 54500000 54500000 6.1e+07 7e+07 63500000 63500000 63500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Cu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 50500000 50500000 50500000 5.4e+07 5.4e+07 5.4e+07 5.4e+07 54500000 54500000 6.1e+07 63500000 7e+07 64500000 64500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Dl" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 50500000 50500000 50500000 5.4e+07 5.4e+07 5.4e+07 5.4e+07 54500000 54500000 6.1e+07 63500000 64500000 7e+07 66500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Ab" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 50500000 50500000 50500000 5.4e+07 5.4e+07 5.4e+07 5.4e+07 54500000 54500000 6.1e+07 63500000 64500000 66500000 7e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07
"Aa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 7e+07 50500000 50500000 50500000 50500000 50500000 50500000
"cc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 50500000 7e+07 6.6e+07 5.9e+07 5.9e+07 5.9e+07 5.9e+07
"Dd" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 50500000 6.6e+07 7e+07 5.9e+07 5.9e+07 5.9e+07 5.9e+07
"Al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 50500000 5.9e+07 5.9e+07 7e+07 64500000 64500000 64500000
"Rt" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 50500000 5.9e+07 5.9e+07 64500000 7e+07 6.5e+07 6.5e+07
"Ov" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 50500000 5.9e+07 5.9e+07 64500000 6.5e+07 7e+07 6.9e+07
"Oh" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e+06 4e+06 4e+06 4e+06 4e+06 4e+06 2.7e+07 2.7e+07 49500000 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 5e+07 50500000 5.9e+07 5.9e+07 64500000 6.5e+07 6.9e+07 7e+07
